bmx3 1 05:19:56 up 0 min, load average: 1.01, 0.22, 0.07Mem: 126476 22356 104120 0 2228
bgp1 1 13:56:03 up 0 min, load average: 1.38, 0.30, 0.10Mem: 126476 22572 103904 0 2148 Routes: 0 imported, 0 exported, 0 preferred
bmx3 2 05:19:59 up 0 min, load average: 1.01, 0.22, 0.07Mem: 126476 24916 101560 0 2676
bgp1 2 13:56:06 up 0 min, load average: 1.38, 0.30, 0.10Mem: 126476 26040 100436 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 1 13:57:02 up 0 min, load average: 0.60, 0.14, 0.04Mem: 126476 20880 105596 0 2176
bmx3 3 05:20:00 up 0 min, load average: 1.01, 0.22, 0.07Mem: 126476 25948 100528 0 2676
bgp2 2 13:57:07 up 0 min, load average: 1.03, 0.24, 0.08Mem: 126476 25548 100928 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 3 13:56:07 up 0 min, load average: 1.27, 0.30, 0.10Mem: 126476 26852 99624 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 4 05:20:01 up 0 min, load average: 1.09, 0.25, 0.08Mem: 126476 26084 100392 0 2676
bgp2 3 13:57:08 up 0 min, load average: 1.03, 0.24, 0.08Mem: 126476 26720 99756 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 4 13:56:08 up 0 min, load average: 1.27, 0.30, 0.10Mem: 126476 26452 100024 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 5 05:20:02 up 0 min, load average: 1.09, 0.25, 0.08Mem: 126476 26212 100264 0 2676
bgp2 4 13:57:09 up 0 min, load average: 1.03, 0.24, 0.08Mem: 126476 26880 99596 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 5 13:56:09 up 0 min, load average: 1.27, 0.30, 0.10Mem: 126476 26628 99848 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 6 05:20:03 up 0 min, load average: 1.09, 0.25, 0.08Mem: 126476 26284 100192 0 2676
bgp2 5 13:57:10 up 0 min, load average: 1.03, 0.24, 0.08Mem: 126476 26696 99780 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 6 13:56:10 up 0 min, load average: 1.27, 0.30, 0.10Mem: 126476 26748 99728 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 7 05:20:04 up 0 min, load average: 1.09, 0.25, 0.08Mem: 126476 26304 100172 0 2676
bgp2 6 13:57:11 up 0 min, load average: 1.03, 0.24, 0.08Mem: 126476 26748 99728 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 7 13:56:11 up 0 min, load average: 1.27, 0.30, 0.10Mem: 126476 26496 99980 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 8 05:20:05 up 0 min, load average: 1.08, 0.26, 0.08Mem: 126476 26600 99876 0 2676
bgp2 7 13:57:12 up 0 min, load average: 1.11, 0.27, 0.09Mem: 126476 26592 99884 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 8 13:56:13 up 0 min, load average: 1.41, 0.34, 0.11Mem: 126476 26880 99596 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 9 05:20:06 up 0 min, load average: 1.08, 0.26, 0.08Mem: 126476 26260 100216 0 2676
bgp2 8 13:57:13 up 0 min, load average: 1.11, 0.27, 0.09Mem: 126476 26528 99948 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 9 13:56:14 up 0 min, load average: 1.41, 0.34, 0.11Mem: 126476 26960 99516 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 10 05:20:07 up 0 min, load average: 1.08, 0.26, 0.08Mem: 126476 26472 100004 0 2676
bgp2 9 13:57:14 up 0 min, load average: 1.11, 0.27, 0.09Mem: 126476 26680 99796 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 10 13:56:15 up 0 min, load average: 1.41, 0.34, 0.11Mem: 126476 26740 99736 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 11 05:20:08 up 0 min, load average: 1.08, 0.26, 0.08Mem: 126476 26288 100188 0 2676
bgp2 10 14:07:00 up 0 min, load average: 1.11, 0.27, 0.09Mem: 126476 26644 99832 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 11 13:56:16 up 0 min, load average: 1.41, 0.34, 0.11Mem: 126476 26716 99760 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 12 05:20:09 up 0 min, load average: 1.08, 0.26, 0.08Mem: 126476 26376 100100 0 2676
bgp2 11 14:07:01 up 0 min, load average: 1.10, 0.28, 0.09Mem: 126476 26716 99760 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 12 13:56:17 up 0 min, load average: 1.41, 0.34, 0.11Mem: 126476 26804 99672 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 13 05:20:10 up 0 min, load average: 1.07, 0.28, 0.09Mem: 126476 26380 100096 0 2676
bgp2 12 14:07:02 up 0 min, load average: 1.10, 0.28, 0.09Mem: 126476 26772 99704 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 13 13:56:18 up 0 min, load average: 1.30, 0.34, 0.11Mem: 126476 26908 99568 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 14 05:20:11 up 0 min, load average: 1.07, 0.28, 0.09Mem: 126476 26504 99972 0 2676
bgp2 13 14:07:03 up 0 min, load average: 1.10, 0.28, 0.09Mem: 126476 26832 99644 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 14 13:56:19 up 0 min, load average: 1.30, 0.34, 0.11Mem: 126476 26712 99764 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 15 05:20:12 up 0 min, load average: 1.07, 0.28, 0.09Mem: 126476 26660 99816 0 2676
bgp2 14 14:07:04 up 0 min, load average: 1.10, 0.28, 0.09Mem: 126476 26648 99828 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 15 13:56:20 up 0 min, load average: 1.30, 0.34, 0.11Mem: 126476 26996 99480 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 16 05:20:14 up 0 min, load average: 1.07, 0.28, 0.09Mem: 126476 26724 99752 0 2676
bgp2 15 14:07:05 up 0 min, load average: 1.10, 0.28, 0.09Mem: 126476 26828 99648 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 16 13:56:21 up 0 min, load average: 1.30, 0.34, 0.11Mem: 126476 26748 99728 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 17 05:20:15 up 0 min, load average: 1.07, 0.28, 0.09Mem: 126476 26696 99780 0 2676
bgp2 16 14:07:06 up 0 min, load average: 1.01, 0.27, 0.09Mem: 126476 26956 99520 0 2996 Routes: 0 imported, 0 exported, 0 preferred
