bmx3 1 07:38:35 up 0 min, load average: 1.30, 0.29, 0.09Mem: 126476 22504 103972 0 2148
bgp1 1 21:10:50 up 0 min, load average: 1.25, 0.27, 0.09Mem: 126476 22868 103608 0 2316
bmx3 2 07:38:37 up 0 min, load average: 1.30, 0.29, 0.09Mem: 126476 24684 101792 0 2676
bgp1 2 21:10:52 up 0 min, load average: 1.25, 0.27, 0.09Mem: 126476 25148 101328 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 3 07:38:38 up 0 min, load average: 1.30, 0.29, 0.09Mem: 126476 25760 100716 0 2676
bgp2 1 21:10:56 up 0 min, load average: 0.41, 0.09, 0.03Mem: 126476 20756 105720 0 2088
bgp2 2 21:11:00 up 0 min, load average: 0.41, 0.09, 0.03Mem: 126476 24164 102312 0 2980 Routes: 0 imported, 0 exported, 0 preferred
bgp1 3 21:10:54 up 0 min, load average: 1.25, 0.27, 0.09Mem: 126476 25924 100552 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 3 21:11:01 up 0 min, load average: 0.94, 0.21, 0.06Mem: 126476 26348 100128 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 4 07:38:39 up 0 min, load average: 1.36, 0.32, 0.10Mem: 126476 26044 100432 0 2676
bgp1 4 21:10:55 up 0 min, load average: 1.15, 0.27, 0.09Mem: 126476 26416 100060 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 4 21:11:02 up 0 min, load average: 0.94, 0.21, 0.06Mem: 126476 26592 99884 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 5 07:38:40 up 0 min, load average: 1.36, 0.32, 0.10Mem: 126476 26352 100124 0 2676
bgp1 5 21:10:56 up 0 min, load average: 1.15, 0.27, 0.09Mem: 126476 26212 100264 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 5 21:11:03 up 0 min, load average: 0.94, 0.21, 0.06Mem: 126476 26804 99672 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 6 07:38:42 up 0 min, load average: 1.36, 0.32, 0.10Mem: 126476 26180 100296 0 2676
bgp1 6 21:10:57 up 0 min, load average: 1.15, 0.27, 0.09Mem: 126476 26560 99916 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 6 21:11:04 up 0 min, load average: 0.94, 0.21, 0.06Mem: 126476 26800 99676 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 7 07:38:43 up 0 min, load average: 1.36, 0.32, 0.10Mem: 126476 26252 100224 0 2676
bgp1 7 21:10:58 up 0 min, load average: 1.15, 0.27, 0.09Mem: 126476 26524 99952 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 7 21:11:05 up 0 min, load average: 0.86, 0.20, 0.06Mem: 126476 26696 99780 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 8 07:38:44 up 0 min, load average: 1.36, 0.32, 0.10Mem: 126476 26348 100128 0 2676
bgp1 8 21:10:59 up 0 min, load average: 1.05, 0.26, 0.08Mem: 126476 26424 100052 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 8 21:11:06 up 0 min, load average: 0.86, 0.20, 0.06Mem: 126476 26792 99684 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 9 07:38:45 up 0 min, load average: 1.49, 0.36, 0.12Mem: 126476 26096 100380 0 2676
bgp1 9 21:11:00 up 0 min, load average: 1.05, 0.26, 0.08Mem: 126476 26468 100008 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 9 21:11:08 up 0 min, load average: 0.86, 0.20, 0.06Mem: 126476 26972 99504 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 10 07:38:46 up 0 min, load average: 1.49, 0.36, 0.12Mem: 126476 26160 100316 0 2676
bgp1 10 21:11:01 up 0 min, load average: 1.05, 0.26, 0.08Mem: 126476 26468 100008 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 10 21:11:09 up 0 min, load average: 0.86, 0.20, 0.06Mem: 126476 27160 99316 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 11 07:38:47 up 0 min, load average: 1.49, 0.36, 0.12Mem: 126476 26152 100324 0 2676
bgp1 11 21:17:00 up 0 min, load average: 1.05, 0.26, 0.08Mem: 126476 26528 99948 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 11 21:11:10 up 0 min, load average: 0.86, 0.20, 0.06Mem: 126476 26916 99560 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 12 07:38:48 up 0 min, load average: 1.49, 0.36, 0.12Mem: 126476 26312 100164 0 2676
bgp1 12 21:17:01 up 0 min, load average: 1.05, 0.26, 0.08Mem: 126476 26340 100136 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 12 21:17:01 up 0 min, load average: 0.79, 0.20, 0.06Mem: 126476 26892 99584 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 13 07:38:49 up 0 min, load average: 1.37, 0.35, 0.12Mem: 126476 26196 100280 0 2676
bgp1 13 21:17:02 up 0 min, load average: 0.97, 0.26, 0.08Mem: 126476 26376 100100 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 13 21:17:02 up 0 min, load average: 0.79, 0.20, 0.06Mem: 126476 26828 99648 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 14 07:38:50 up 0 min, load average: 1.37, 0.35, 0.12Mem: 126476 26344 100132 0 2676
bgp1 14 21:17:03 up 0 min, load average: 0.97, 0.26, 0.08Mem: 126476 26432 100044 0 2676 Routes: 0 imported, 0 exported, 0 preferred
