bmx3 1 05:20:38 up 0 min, load average: 1.14, 0.25, 0.08Mem: 126476 22252 104224 0 2148
bgp1 1 18:03:23 up 0 min, load average: 1.51, 0.34, 0.11Mem: 126476 22580 103896 0 2148
bmx3 2 05:20:40 up 0 min, load average: 1.14, 0.25, 0.08Mem: 126476 24484 101992 0 2676
bgp2 1 18:02:20 up 0 min, load average: 0.55, 0.12, 0.04Mem: 126476 20964 105512 0 2088
bgp2 2 18:02:23 up 0 min, load average: 0.55, 0.12, 0.04Mem: 126476 23700 102776 0 2840 Routes: 0 imported, 0 exported, 0 preferred
bgp1 2 18:03:25 up 0 min, load average: 1.51, 0.34, 0.11Mem: 126476 25204 101272 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 3 05:20:41 up 0 min, load average: 1.14, 0.25, 0.08Mem: 126476 25436 101040 0 2676
bgp2 3 18:02:24 up 0 min, load average: 1.07, 0.24, 0.08Mem: 126476 25652 100824 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 3 18:03:26 up 0 min, load average: 1.39, 0.33, 0.11Mem: 126476 26412 100064 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 4 05:20:43 up 0 min, load average: 1.13, 0.27, 0.09Mem: 126476 25764 100712 0 2676
bgp2 4 18:02:26 up 0 min, load average: 1.07, 0.24, 0.08Mem: 126476 26144 100332 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 4 18:03:27 up 0 min, load average: 1.39, 0.33, 0.11Mem: 126476 26668 99808 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 5 05:20:44 up 0 min, load average: 1.13, 0.27, 0.09Mem: 126476 25804 100672 0 2676
bgp2 5 18:02:27 up 0 min, load average: 1.07, 0.24, 0.08Mem: 126476 26564 99912 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp1 5 18:03:28 up 0 min, load average: 1.39, 0.33, 0.11Mem: 126476 26756 99720 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 6 05:20:45 up 0 min, load average: 1.13, 0.27, 0.09Mem: 126476 26108 100368 0 2676
bgp2 6 18:02:28 up 0 min, load average: 1.07, 0.24, 0.08Mem: 126476 26884 99592 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 7 05:20:46 up 0 min, load average: 1.13, 0.27, 0.09Mem: 126476 26112 100364 0 2676
bgp1 6 18:03:30 up 0 min, load average: 1.39, 0.33, 0.11Mem: 126476 27288 99188 0 2676 Routes: 482 imported, 2 exported, 964 preferred
bgp2 7 18:02:29 up 0 min, load average: 1.07, 0.24, 0.08Mem: 126476 27912 98564 0 2996 Routes: 2266 imported, 2 exported, 2266 preferred
bmx3 8 05:20:47 up 0 min, load average: 1.13, 0.27, 0.09Mem: 126476 26088 100388 0 2676
bgp1 7 18:03:31 up 0 min, load average: 1.39, 0.33, 0.11Mem: 126476 28488 97988 0 2676 Routes: 2266 imported, 2 exported, 4532 preferred
bgp2 8 18:02:30 up 0 min, load average: 0.98, 0.23, 0.08Mem: 126476 28272 98204 0 2996 Routes: 2266 imported, 2 exported, 2266 preferred
bmx3 9 05:20:48 up 0 min, load average: 1.28, 0.31, 0.10Mem: 126476 26376 100100 0 2676
bgp1 8 18:03:32 up 0 min, load average: 1.28, 0.33, 0.11Mem: 126476 28772 97704 0 2676 Routes: 2266 imported, 2 exported, 4532 preferred
bgp2 9 18:02:31 up 0 min, load average: 0.98, 0.23, 0.08Mem: 126476 27984 98492 0 2996 Routes: 2266 imported, 2 exported, 2266 preferred
bmx3 10 05:20:49 up 0 min, load average: 1.28, 0.31, 0.10Mem: 126476 26692 99784 0 2676
bgp1 9 18:03:33 up 0 min, load average: 1.28, 0.33, 0.11Mem: 126476 28724 97752 0 2676 Routes: 2266 imported, 4 exported, 4532 preferred
